WKT,id,title_no,status,type,land_district,issue_date,guarantee_status,estate_description,number_owners,spatial_extents_shared
"POLYGON ((393409.613008937 795414.150621133,393408.066774981 795415.659636271,393399.241920561 795424.266192462,393398.625939662 795424.86721225,393397.187259425 795426.270815651,393398.986151615 795427.768052162,393406.088287298 795433.686607871,393408.408719605 795435.619304415,393409.230077252 795436.304923838,393410.710606683 795434.929121053,393420.771178147 795425.592527922,393420.093572718 795424.897788654,393417.996614791 795422.752429298,393409.613008937 795414.150621133))",5054331,1000469,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 562707, 261 m2",1,F
"POLYGON ((395680.270905408 799053.130277478,395614.964532224 798995.310682594,395605.476240784 799010.699649836,395602.904658547 799014.872076046,395584.173911371 799045.250300854,395583.057213397 799047.063589932,395590.415455313 799051.567815235,395604.323828948 799060.088937267,395606.541641264 799061.447045546,395622.265892871 799071.079823728,395624.831247214 799072.652857815,395632.846918819 799077.564656877,395635.045196548 799078.909795161,395649.662712392 799087.862532494,395654.959477505 799081.851830231,395680.270905408 799053.130277478))",5056503,1002713,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 561085, 4,393 m2",1,F
"POLYGON ((395696.740698378 799067.714732962,395680.270905408 799053.130277478,395654.959477505 799081.851830231,395649.662712392 799087.862532494,395668.703359778 799099.531434162,395696.740698378 799067.714732962))",5056502,1002712,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 561085, 976 m2",1,F
"POLYGON ((395574.644080148 799094.284643125,395582.19822224 799082.054195325,395569.155216223 799074.0,395567.453841999 799072.947605323,395559.889909142 799085.176188448,395574.644080148 799094.284643125))",5056501,1002711,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 561085, 249 m2",1,F
"POLYGON ((395614.727302332 798995.101381358,395596.064148751 798978.571870429,395584.884695406 798996.769579971,395583.134932948 798999.55241145,395582.314496896 799000.942010949,395570.211219747 799020.53664164,395560.390145937 799036.495448389,395559.611692884 799037.727732983,395562.863703381 799039.725077538,395575.105505301 799047.286429636,395579.843954765 799050.212027843,395580.762336226 799050.782687138,395581.770011338 799049.148870886,395583.057213397 799047.063589932,395584.173911371 799045.250300854,395602.904658547 799014.872076046,395605.476240784 799010.699649836,395614.964532224 798995.310682594,395614.727302332 798995.101381358))",5056504,1002714,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 5 Deposited Plan 561085, 1,672 m2",1,F
"POLYGON ((395574.644080148 799094.284643125,395581.294706468 799098.394185852,395608.877078542 799115.428887447,395641.96857101 799135.855952803,395643.072534197 799134.322150535,395664.480877473 799104.593228525,395665.530338888 799103.12416016,395668.703359778 799099.531434162,395649.662712392 799087.862532494,395635.045196548 799078.909795161,395632.846918819 799077.564656877,395624.831247214 799072.652857815,395622.265892871 799071.079823728,395606.541641264 799061.447045546,395604.323828948 799060.088937267,395590.415455313 799051.567815235,395583.057213397 799047.063589932,395581.770011338 799049.148870886,395580.762336226 799050.782687138,395579.843954765 799050.212027843,395575.105505301 799047.286429636,395562.863703381 799039.725077538,395559.611692884 799037.727732983,395556.010002326 799043.602421248,395552.413937833 799049.404933599,395563.116267315 799056.013951632,395572.635047775 799061.883688462,395573.815819294 799062.621097441,395567.453841999 799072.947605323,395569.155216223 799074.0,395582.19822224 799082.054195325,395574.644080148 799094.284643125))",5056500,1002710,LIVE,Freehold,Nelson,2021/08/19 12:55:43,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 561085, 4,489 m2",1,F
"POLYGON ((396280.822858639 794960.128388964,396294.052390614 794975.304107531,396291.543245278 794983.741542041,396306.256356614 795001.383540609,396318.329028068 795003.083334911,396334.134674065 795021.158953237,396340.555500252 795015.040922808,396337.021706211 795007.686962303,396328.895970015 795002.083587595,396337.607528836 794986.084220532,396340.219358457 794978.703736706,396334.599837811 794975.972523179,396339.95694092 794964.989533774,396344.423575235 794957.097251031,396355.122207599 794946.585231844,396367.356385334 794937.699151985,396379.968492694 794929.216743419,396390.773027508 794918.812085977,396400.606826601 794907.366664518,396412.507542082 794898.124939471,396424.500268899 794888.999864365,396435.872344599 794879.174774939,396447.968218901 794870.17186654,396462.324216583 794862.077033625,396477.620602068 794851.337553241,396482.03170321 794848.157817355,396501.992498477 794838.349738369,396503.706161214 794843.994262202,396512.063782961 794849.00709181,396518.387575762 794846.738945025,396523.183050535 794827.637052857,396513.901775993 794822.397963012,396507.810717292 794816.638423792,396502.481420332 794811.190214575,396478.130648049 794786.524940936,396478.218378902 794781.145973634,396481.188155101 794777.59534232,396478.575998357 794774.573240419,396474.727056534 794778.230805996,396463.984333913 794788.456069346,396400.729146568 794849.169356872,396315.490113145 794929.861798052,396280.822858639 794960.128388964))",5046813,992544,LIVE,Freehold,Nelson,2021/08/19 12:37:49,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 560391, 13,787 m2",1,F
"POLYGON ((396816.800641343 795005.987961157,396822.050532682 795002.419676712,397063.208484016 794837.021214318,397005.631537005 794756.066330105,396911.932097377 794782.725967547,396883.505327184 794790.811968716,396862.44029893 794799.937599246,396846.311290847 794801.587255685,396796.398933387 794784.576925049,396739.566606501 794765.192003211,396711.336425056 794727.128214441,396642.378476821 794659.927482314,396634.788156409 794652.536625103,396622.127897219 794640.206768315,396618.16989143 794641.648709242,396587.975019225 794671.31912099,396478.575998357 794774.573240419,396481.188155101 794777.59534232,396478.218378902 794781.145973634,396478.130648049 794786.524940936,396502.481420332 794811.190214575,396507.810717292 794816.638423792,396513.901775993 794822.397963012,396523.183050535 794827.637052857,396518.387575762 794846.738945025,396512.063782961 794849.00709181,396503.706161214 794843.994262202,396501.992498477 794838.349738369,396482.03170321 794848.157817355,396477.620602068 794851.337553241,396462.324216583 794862.077033625,396447.968218901 794870.17186654,396435.872344599 794879.174774939,396424.500268899 794888.999864365,396412.507542082 794898.124939471,396400.606826601 794907.366664518,396390.773027508 794918.812085977,396379.968492694 794929.216743419,396367.356385334 794937.699151985,396355.122207599 794946.585231844,396344.423575235 794957.097251031,396339.95694092 794964.989533774,396334.599837811 794975.972523179,396340.219358457 794978.703736706,396337.607528836 794986.084220532,396328.895970015 795002.083587595,396337.021706211 795007.686962303,396340.555500252 795015.040922808,396334.134674065 795021.158953237,396318.329028068 795003.083334911,396306.256356614 795001.383540609,396291.543245278 794983.741542041,396294.052390614 794975.304107531,396280.822858639 794960.128388964,396188.045903899 795040.352707445,396058.685703593 795153.950010653,396061.046472585 795157.270133045,396127.415143734 795250.611087125,396233.36301802 795154.844136998,396255.208491018 795134.997883322,396468.587718662 794946.578340592,396540.896607646 794877.476339286,396559.30071396 794898.773451599,396617.286095076 794903.489272516,396697.416930773 794945.740092832,396760.923476753 794990.485184358,396781.177047049 795034.860855865,396851.071516581 795077.46821735,396901.589282474 795126.223104295,396998.52578989 795158.750723365,397015.413602903 795176.786429064,397026.204432344 795188.311492855,397026.571283909 795188.705906257,397079.305257083 795238.485904718,397092.761363415 795275.29290772,397110.251432297 795264.523349057,397096.580594196 795227.11842242,397040.847427639 795174.505295666,397023.81309477 795156.312250239,397009.772260132 795141.31337427,397002.885080295 795139.004185224,396912.265259897 795108.598714308,396863.421416719 795061.454994461,396796.901753705 795020.905694803,396776.952041629 794977.187310409,396810.705798221 795001.58175495,396816.800641343 795005.987961157))",5046814,992545,LIVE,Freehold,Nelson,2021/08/19 12:37:49,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 560391, 160,942 m2",1,F
"POLYGON ((389772.662417453 791202.152564087,389795.722469265 791221.355998203,389806.9620249 791207.913055414,389807.72203676 791207.007121007,389784.656414788 791187.805560316,389772.662417453 791202.152564087))",5053005,999090,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 562860, 561 m2",1,F
"POLYGON ((389784.656414788 791187.805560316,389807.72203676 791207.007121007,389818.800964746 791193.702760372,389819.62259609 791192.613660505,389796.530527698 791173.38249111,389794.74055806 791175.74371884,389784.656414788 791187.805560316))",5053006,999091,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 562860, 559 m2",1,F
"POLYGON ((389771.565286424 791250.268195127,389793.724197523 791268.683685204,389807.556473919 791280.20163594,389829.060740443 791298.114479188,389848.67461618 791314.460497689,389871.807661202 791333.732289376,389898.629888801 791356.074413839,389902.472211144 791359.267210672,389905.07463361 791361.421715534,389907.467182493 791356.029323715,389911.730732013 791359.21714836,389922.84089153 791306.369415915,389929.103725998 791264.88572753,389931.674492728 791257.67033063,389932.066551589 791256.569516084,389936.360903361 791244.553120755,389935.804789089 791185.939911166,389926.300766499 791178.130242393,389894.052392512 791151.665847498,389883.222191655 791142.771429819,389869.993065234 791131.906012863,389868.478765107 791130.641512781,389858.776199711 791142.250494821,389856.397005195 791145.099582775,389844.502175571 791159.494966909,389833.282981573 791174.43176743,389830.876765899 791177.636204293,389819.62259609 791192.613660505,389818.800964746 791193.702760372,389807.72203676 791207.007121007,389806.9620249 791207.913055414,389795.722469265 791221.355998203,389795.272603908 791221.894011462,389785.642448799 791233.417857285,389783.720046838 791235.719666905,389783.41268546 791236.085735489,389773.59248168 791247.838816283,389771.565286424 791250.268195127))",5053012,999097,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 10 Deposited Plan 562860, 21,267 m2",1,F
"POLYGON ((389770.937032493 791249.715702979,389771.565286424 791250.268195127,389773.59248168 791247.838816283,389783.41268546 791236.085735489,389783.720046838 791235.719666905,389760.659975109 791216.514329274,389750.497474982 791228.675978323,389748.519160949 791231.055442398,389770.937032493 791249.715702979))",5053003,999088,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 562860, 569 m2",1,F
"POLYGON ((389821.415721196 791140.269425376,389844.502175571 791159.494966909,389856.397005195 791145.099582775,389833.346781186 791125.90560405,389822.1982652 791139.198784192,389821.415721196 791140.269425376))",5053009,999094,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 7 Deposited Plan 562860, 561 m2",1,F
"POLYGON ((389833.346781186 791125.90560405,389856.397005195 791145.099582775,389858.776199711 791142.250494821,389868.478765107 791130.641512781,389850.486582014 791115.87857468,389845.284705829 791111.589895279,389835.27193345 791123.603784884,389833.346781186 791125.90560405))",5053010,999095,LIVE,Freehold,Nelson,2021/08/16 09:49:26,Guarantee,"Fee Simple, 1/1, Lot 8 Deposited Plan 562860, 562 m2",1,F
